PT Conditions:
C, 
1725,
GPa,
14,
End

,SiO2,Al2O3,FeO,MgO,CaO,Na2O,SiO2_er,Al2O3_er,FeO_er,MgO_er,CaO_er,Na2O_er
Wad, 37.89,0.37,21.61,37.39,0.11,0.2,0.19,0.17,0.25,0.45,0.06,0.02
Cpx,        54.6,1.46,6.97,19.6,14.74,1.22,0.35,0.37,0.48,0.63,1.51,0.21
Gt_maj,   46.82,14.55,11.01,21.72,5.13,0.48,1.56,2.64,0.29,0.52,0.63,0.24
Wus, 0.13,0.23,68.35,31.98,0.04,0.83,0.11,0.02,0.9,1.20,0.01,0.02
