PT Conditions:
C, 
1700,
GPa,
13,
End

,SiO2,Al2O3,FeO,MgO,CaO,Na2O,SiO2_er,Al2O3_er,FeO_er,MgO_er,CaO_er,Na2O_er
O,    38.56,0.1,20.32,41.39,0.14,0.1,0.67,0.1,0.38,0.41,0.04,0.01
Cpx,        53.52,2.41,11.3,21.68,8.52,1.26,0.5,0.63,0.51,0.57,0.57,0.02
Gt_maj,   42.32,18.76,13.82,19.59,3.92,0.16,0.41,0.38,0.23,0.48,0.29,0.01
