PT Conditions:
C, 
1650,
GPa,
11,
End

,SiO2,Al2O3,FeO,MgO,CaO,Na2O,SiO2_er,Al2O3_er,FeO_er,MgO_er,CaO_er,Na2O_er
O,    38.44,1.25,21.95,38.18,0.37,0.08,0.27,0.63,0.39,0.84,0.15,0.02
Cpx,        54.96,1.74,12.89,21.59,7.92,1.28,0.57,0.44,0.98,0.71,1.14,0.27
Gt_maj,   41.62,23.19,14.22,17.78,4.23,0.05,0.49,0.86,0.61,0.62,0.52,0.03
