PT Conditions:
C,
1760,
GPa,
23.5,
End

,SiO2,Al2O3,FeO,MgO,CaO,Na2O,SiO2_er,Al2O3_er,FeO_er,MgO_er,CaO_er,Na2O_er
ca-pv,    51.72,0,0,0,48.28,0,0,0,0,0,0,0 
Gt_maj,   50.42,8.22,10.52,23.51,7.88,0.67,0.5,1.33,1.26,1.92,2.14,0.23
Pv,  51.50393377,3.381436563,11.92685612,33.94400537,0,0.205262922,0.5,0.3,0.1,0.3,0.01,0.02
Wus,  0.77,0.25,61.72,35.29,0.07,1.67,0.07,0.02,0.6,0.3,0.05,0.1
