PT Conditions:
C, 
1750,
GPa,
15,
End

,SiO2,Al2O3,FeO,MgO,CaO,Na2O,SiO2_er,Al2O3_er,FeO_er,MgO_er,CaO_er,Na2O_er
Wad, 38.43,0.31,23.1,38.81,0.14,0.18,0.3,0.12,0.62,0.58,0.12,0.02
Ring, 38.25,0.4,29.67,33.38,0.24,0.14,0.46,0.26,0.4,0.57,0.18,0.04
Cpx,        55.02,1.11,6.56,19.21,17.05,1.02,0.46,0.37,0.1,0.37,0.87,0.13
Gt_maj,   45.3,17.68,10.87,20.33,5.51,0.54,0.73,1.55,0.23,0.59,1.42,0.32

