name	ID	Mr	T0	f0	n	V0	k0	k0prime	td	gam0	q	n_a1	etaS0	Sconf	g0	g0prime	m	n_a2	n_a3	f0_Er	k0_Er	k0prime_Er	td_Er	gam0_Er	q_Er	n_a4	n_a5	etaS0_Er	g0_Er	g0prime_Er	Cations
fo	O	140.692	300	-2055403	7	4.3603	1279555	4.21796	809.1703	0.99282	2.10672	1	2.29972	0	815999.9	1.46257	0	0	0	2000	20000	0.2	1	0.03	0.2	0	0	0.1	2	0.1	3
fa	O	203.772	300	-1370519	7	4.629	1349622	4.21796	618.7007	1.06023	3.6466	1	1.02497	26.76	508999.9	1.46257	2	0	0	1000	20000	1	2	0.07	1	0	0	0.6	2	0.5	3
wad	Wad	140.692	300	-2027837	7	4.0515	1686948	4.3229	843.4973	1.2061	2.0188	1	2.63683	0	1120000	1.44424	0	0	0	2000	30000	0.2	7	0.09	1	0	0	0.4	2	0.2	3
fwad	Wad	203.772	300	-1364668	7	4.28	1685910	4.3229	665.4492	1.2061	2.0188	1	1.04017	26.76	720000	1.44424	2	0	0	7000	130000	1	21	0.3	1	0	0	1	12	0.5	3
ring	Ring	140.692	300	-2017557	7	3.9493	1849009	4.22035	877.7094	1.10791	2.3914	1	2.30461	0	1230000	1.35412	0	0	0	2000	20000	0.2	8	0.1	0.4	0	0	0.5	2	0.1	3
fring	Ring	203.772	300	-1362772	7	4.186	2134120	4.22035	677.7177	1.27193	2.3914	1	1.77249	26.76	920000	1.35412	2	0	0	2000	70000	1	8	0.23	1	0	0	1	10	0.5	3
