PT Conditions:
C, 
1575,
GPa,
10,
End

,SiO2,Al2O3,FeO,MgO,CaO,Na2O,SiO2_er,Al2O3_er,FeO_er,MgO_er,CaO_er,Na2O_er
O,    38.57,0.91,22.05,39.03,0.32,0.07,0.41,0.56,0.44,0.57,0.16,0.01
Cpx,        55.25,1.66,13.13,22.77,7.01,1.2,0.55,0.32,0.53,0.85,0.81,0.15
Gt_maj,   41.67,22.55,14.57,18.34,3.74,0.06,1.35,0.44,0.56,0.34,0.51,0.04



