,SiO2,Al2O3,FeO,MgO,CaO,Na2O,,,,,,
Olivine,    0,0,0,0,0,0
Wadsleyite, 0,0,0,0,0,0
Ringwoodite, 37.43,0.06,24.25,37.3,0.1,0.13,0.26,0.04,0.33,0.24,0.1,0.06
Opx,       0,0,0,0,0,0
Cpx,        0,0,0,0,0,0
C2/c,       0,0,0,0,0,0
Ca-Perov,    0,0,0,0,0,0 
Akimotoite,  0,0,0,0,0,0 
Majorite,   50.78,5.96,11.88,24.77,4.63,0.68,0.51,0.91,0.23,0.65,0.58,0.04
Quartz,      0,0,0,0,0,0 
Perovskite,  0,0,0,0,0,0 
Periclase,   0,0,0,0,0,0 
Spinel,      0,0,0,0,0,0
CF,          0,0,0,0,0,0,0,0,0,0,0,0
PPv,	     0,0,0,0,0,0,0,0,0,0,0,0
Pl,	     0,0,0,0,0,0,0,0,0,0,0,0
