,SiO2,Al2O3,FeO,MgO,CaO,Na2O,,,,,
Olivine,    0,0,0,0,0,0
Wadsleyite, 0,0,0,0,0,0
Ringwoodite, 0,0,0,0,0,0
Opx,       0,0,0,0,0,0
Cpx,        0,0,0,0,0,0
C2/c,       0,0,0,0,0,0
Ca-Perov,    51.72,0,0,0,48.28,0 
Akimotoite,  0,0,0,0,0,0 
Majorite,   50.42,8.22,10.52,23.51,7.88,0.67,0.5,1.33,1.26,1.92,2.14,0.23
Quartz,      0,0,0,0,0,0 
Perovskite,  47.6742,3.13,11.04,31.42,0,0.19,0.1,0.1,0.1,0.1,0.1,0.1
Periclase,  0.77,0.25,61.72,35.29,0.07,1.67,0.11,0.02,0.52,0.42,0.01,0.04
Spinel,     0,0,0,0,0,0
CF,          0,0,0,0,0,0,0,0,0,0,0,0
PPv,	     0,0,0,0,0,0,0,0,0,0,0,0
Pl,	     0,0,0,0,0,0,0,0,0,0,0,0
