,SiO2,Al2O3,FeO,MgO,CaO,Na2O,,,,,,
Olivine,    38.57,0.91,22.05,39.03,0.32,0.07,0.41,0.56,0.44,0.57,0.16,0.01
Wadsleyite, 0,0,0,0,0,0 
Ringwoodite, 0,0,0,0,0,0 
Opx,       0,0,0,0,0,0
Cpx,        55.25,1.66,13.13,22.77,7.01,1.2,0.55,0.32,0.53,0.85,0.81,0.15
C2/c,       0,0,0,0,0,0 
Ca-Perov,    0,0,0,0,0,0 
Akimotoite,  0,0,0,0,0,0 
Majorite,   41.67,22.55,14.57,18.34,3.74,0.06,1.35,0.44,0.56,0.34,0.51,0.04
Quartz,      0,0,0,0,0,0 
Perovskite,  0,0,0,0,0,0 
Periclase,   0,0,0,0,0,0 
Spinel,      0,0,0,0,0,0 
CF,          0,0,0,0,0,0,0,0,0,0,0,0
PPv,	     0,0,0,0,0,0,0,0,0,0,0,0
Pl,	     0,0,0,0,0,0,0,0,0,0,0,0
