,SiO2,Al2O3,FeO,MgO,CaO,Na2O,,,,,,
Olivine,    0,0,0,0,0,0
Wadsleyite, 0,0,0,0,0,0
Ringwoodite, 37.71,0.05,24.86,37.63,0.03,0.12,0.2,0.01,0.2,0.2,0.01,0.01
Opx,       0,0,0,0,0,0
Cpx,        0,0,0,0,0,0
C2/c,       0,0,0,0,0,0
Ca-Perov,    0,0,0,0,0,0 
Akimotoite,  0,0,0,0,0,0 
Majorite,   51.27,6.28,11.85,25.26,4.35,0.66,0.18,0.24,0.2,0.19,0.12,0.03
Quartz,      0,0,0,0,0,0 
Perovskite,  0,0,0,0,0,0 
Periclase,   0,0,0,0,0,0 
Spinel,      0,0,0,0,0,0
CF,          0,0,0,0,0,0,0,0,0,0,0,0
PPv,	     0,0,0,0,0,0,0,0,0,0,0,0
Pl,	     0,0,0,0,0,0,0,0,0,0,0,0
