,SiO2,Al2O3,FeO,MgO,CaO,Na2O,,,,,,
Olivine,    38.39,0.22,22.6,39.51,0.13,0.05,0.25,0.32,0.19,0.34,0.05,0.01
Wadsleyite, 0,0,0,0,0,0 
Ringwoodite, 0,0,0,0,0,0 
Opx,       55.96,0.81,13.81,28.03,1.5,0.42,0.2,0.17,0.09,0.33,0.08,0.02
Cpx,        54.94,1.61,13.23,21.42,7.72,1.49,0.53,0.16,0.61,0.30,0.72,0.07
C2/c,       0,0,0,0,0,0 
Ca-Perov,    0,0,0,0,0,0 
Akimotoite,  0,0,0,0,0,0 
Majorite,   41.72,22.75,14.06,18.92,4.32,0.02,0.49,1.60,0.8,1.22,0.25,0.01
Quartz,      0,0,0,0,0,0 
Perovskite,  0,0,0,0,0,0 
Periclase,   0,0,0,0,0,0 
Spinel,      0,0,0,0,0,0
CF,          0,0,0,0,0,0,0,0,0,0,0,0
PPv,	     0,0,0,0,0,0,0,0,0,0,0,0
Pl,	     0,0,0,0,0,0,0,0,0,0,0,0
