,SiO2,Al2O3,FeO,MgO,CaO,Na2O,,,,,,
Olivine,    38.37,0.07,22.05,38.51,0.11,0.02,0.12,0.02,0.17,0.25,0.02,0.01
Wadsleyite, 0,0,0,0,0,0,0,0,0,0,0,0 
Ringwoodite, 0,0,0,0,0,0,0,0,0,0,0,0
Opx,        53.7,3.91,13.0,25.55,2.51,0.54,0.3,0.33,0.18,0.56,0.57,0.1
Cpx,        53.15,6.21,9.47,16.06,12.16,2.4,0.11,0.58,0.77,0.77,0.98,0.18
C2/c,      0,0,0,0,0,0,0,0,0,0,0,0
Ca-Perov,    0,0,0,0,0,0,0,0,0,0,0,0
Akimotoite,  0,0,0,0,0,0,0,0,0,0,0,0
Majorite,   40.47,23.86,15.0,16.17,4.71,0.04,1.09,1.17,0.24,0.41,0.26,0.04
Quartz,      0,0,0,0,0,0,0,0,0,0,0,0
Perovskite,  0,0,0,0,0,0,0,0,0,0,0,0 
Periclase,   0,0,0,0,0,0,0,0,0,0,0,0 
Spinel,      0,0,0,0,0,0,0,0,0,0,0,0
CF,          0,0,0,0,0,0,0,0,0,0,0,0
PPv,	     0,0,0,0,0,0,0,0,0,0,0,0
Pl,	     0,0,0,0,0,0,0,0,0,0,0,0

