,SiO2,Al2O3,FeO,MgO,CaO,Na2O,,,,,,
Olivine,    38.55,0.28,23.1,38.93,0.16,0.06,0.12,0.37,0.37,0.81,0.12,0.02
Wadsleyite, 0,0,0,0,0,0 
Ringwoodite, 0,0,0,0,0,0 
Opx,        55.39,1.34,13.64,28.13,1.49,0.45,0.56,0.21,0.31,0.54,0.53,0.09
Cpx,        54.46,2.59,11.92,20.44,8.86,1.76,0.6,0.14,0.33,0.45,0.19,0.1
C2/c,       0,0,0,0,0,0 
Ca-Perov,    0,0,0,0,0,0 
Akimotoite,  0,0,0,0,0,0 
Majorite,   41.62,22.85,14.1,17.96,4.28,0.05,0.32,0.72,0.56,0.87,0.57,0.03
Quartz,      0,0,0,0,0,0 
Perovskite,  0,0,0,0,0,0 
Periclase,   0,0,0,0,0,0 
Spinel,      0,0,0,0,0,0
CF,          0,0,0,0,0,0,0,0,0,0,0,0
PPv,	     0,0,0,0,0,0,0,0,0,0,0,0
Pl,	     0,0,0,0,0,0,0,0,0,0,0,0
