,SiO2,Al2O3,FeO,MgO,CaO,Na2O,,,,,,
Olivine,    38.81,0.58,19.31,39.86,0.35,0.13,0.08,0.09,0.1,0.04,0.08,0.01
Wadsleyite, 0,0,0,0,0,0 
Ringwoodite, 37.3,0.95,28.24,31.31,0.29,0.22,0.43,0.42,0.63,0.35,0.15,0.03
Opx,       0,0,0,0,0,0
Cpx,        54.86,2.23,10.44,20.92,9.15,1.71,0.81,0.25,0.48,0.87,1.01,0.14
C2/c,        0,0,0,0,0,0
Ca-Perov,    0,0,0,0,0,0 
Akimotoite,  0,0,0,0,0,0 
Majorite,   44.05,18.42,13.88,19.41,4.25,0.34,0.5,0.9,0.44,0.51,0.32,0.08
Quartz,      0,0,0,0,0,0 
Perovskite,  0,0,0,0,0,0 
Periclase,   0.4,0.24,80.56,20.21,0.07,0.74,0.3,0.06,0.93,1.08,0.02,0.03
Spinel,      0,0,0,0,0,0
CF,          0,0,0,0,0,0,0,0,0,0,0,0
PPv,	     0,0,0,0,0,0,0,0,0,0,0,0
Pl,	     0,0,0,0,0,0,0,0,0,0,0,0
