,SiO2,Al2O3,FeO,MgO,CaO,Na2O,,,,,,
Olivine,    0,0,0,0,0,0
Wadsleyite, 0,0,0,0,0,0
Ringwoodite, 37.77,0.1,24.75,37.41,0.05,0.12,0.52,0.02,0.5,0.9,0.02,0.01
Opx,       0,0,0,0,0,0
Cpx,        0,0,0,0,0,0
C2/c,       0,0,0,0,0,0
Ca-Perov,    0,0,0,0,0,0 
Akimotoite,  0,0,0,0,0,0 
Majorite,   51.36,7.38,9.85,24.45,5.68,0.83,0.57,0.56,1.01,0.77,0.27,0.05
Quartz,      0,0,0,0,0,0 
Perovskite,  0,0,0,0,0,0 
Periclase,   0,0,0,0,0,0 
Spinel,      0,0,0,0,0,0
CF,          0,0,0,0,0,0,0,0,0,0,0,0
PPv,	     0,0,0,0,0,0,0,0,0,0,0,0
Pl,	     0,0,0,0,0,0,0,0,0,0,0,0
