,SiO2,Al2O3,FeO,MgO,CaO,Na2O,,,,,,
Olivine,    0,0,0,0,0,0
Wadsleyite, 37.89,0.37,21.61,37.39,0.11,0.2,0.19,0.17,0.25,0.45,0.06,0.02
Ringwoodite, 0,0,0,0,0,0
Opx,       0,0,0,0,0,0
Cpx,        54.6,1.46,6.97,19.6,14.74,1.22,0.35,0.37,0.48,0.63,1.51,0.21
C2/c,       0,0,0,0,0,0
Ca-Perov,    0,0,0,0,0,0 
Akimotoite,  0,0,0,0,0,0 
Majorite,   46.82,14.55,11.01,21.72,5.13,0.48,1.56,2.64,0.29,0.52,0.63,0.24
Quartz,      0,0,0,0,0,0 
Perovskite,  0,0,0,0,0,0 
Periclase,   0.13,0.23,68.35,31.98,0.04,0.83,0.11,0.02,0.9,1.2,0.01,0.02
Spinel,      0,0,0,0,0,0
CF,          0,0,0,0,0,0,0,0,0,0,0,0
PPv,	     0,0,0,0,0,0,0,0,0,0,0,0
Pl,	     0,0,0,0,0,0,0,0,0,0,0,0
